Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,
3700,0.087,0.087,0.098,0.086,0.087,0.091,0.087,0.087,0.087,0.694,0.302,0.165,0.819,0.92,0.203,0.088,0.087,0.632,0.284,0.1,0.737,0.81,0.184,0.088,0.088,0.631,0.265,0.12,0.728,0.798,0.177,0.088,0.087,0.654,0.277,0.118,0.792,0.877,0.19,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3710,0.087,0.087,0.097,0.086,0.086,0.091,0.088,0.087,0.087,0.695,0.303,0.168,0.82,0.92,0.205,0.088,0.087,0.633,0.285,0.101,0.736,0.809,0.186,0.088,0.088,0.631,0.266,0.122,0.728,0.798,0.179,0.088,0.087,0.655,0.279,0.119,0.805,0.881,0.192,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3720,0.087,0.087,0.097,0.086,0.086,0.091,0.087,0.087,0.087,0.696,0.304,0.172,0.82,0.921,0.207,0.088,0.087,0.634,0.285,0.101,0.736,0.809,0.188,0.088,0.088,0.632,0.266,0.123,0.727,0.798,0.181,0.088,0.087,0.656,0.28,0.121,0.792,0.877,0.194,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3730,0.087,0.088,0.097,0.086,0.086,0.091,0.088,0.087,0.087,0.697,0.305,0.174,0.819,0.921,0.208,0.088,0.087,0.634,0.286,0.102,0.736,0.808,0.19,0.088,0.088,0.633,0.267,0.125,0.727,0.797,0.182,0.088,0.087,0.657,0.281,0.123,0.792,0.876,0.196,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3740,0.087,0.087,0.098,0.086,0.086,0.091,0.087,0.087,0.087,0.698,0.307,0.177,0.82,0.921,0.209,0.088,0.087,0.636,0.286,0.102,0.736,0.809,0.191,0.087,0.088,0.634,0.268,0.127,0.728,0.798,0.184,0.088,0.087,0.658,0.282,0.125,0.792,0.877,0.197,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3750,0.087,0.087,0.098,0.086,0.087,0.091,0.088,0.087,0.087,0.699,0.308,0.179,0.82,0.921,0.211,0.088,0.087,0.636,0.287,0.103,0.736,0.808,0.192,0.088,0.088,0.634,0.268,0.129,0.726,0.797,0.185,0.088,0.087,0.659,0.283,0.127,0.792,0.877,0.199,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3760,0.087,0.087,0.097,0.086,0.086,0.091,0.088,0.087,0.087,0.7,0.309,0.181,0.82,0.92,0.212,0.088,0.087,0.637,0.287,0.104,0.736,0.808,0.194,0.088,0.088,0.635,0.269,0.131,0.727,0.796,0.186,0.088,0.087,0.66,0.284,0.129,0.793,0.877,0.2,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3770,0.087,0.087,0.098,0.086,0.087,0.091,0.088,0.087,0.087,0.701,0.31,0.181,0.82,0.921,0.213,0.088,0.087,0.638,0.288,0.104,0.735,0.808,0.195,0.088,0.088,0.636,0.27,0.134,0.727,0.796,0.187,0.088,0.087,0.661,0.286,0.131,0.793,0.878,0.201,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3780,0.087,0.087,0.097,0.086,0.086,0.091,0.088,0.087,0.087,0.702,0.311,0.182,0.82,0.921,0.214,0.088,0.087,0.638,0.289,0.106,0.734,0.807,0.196,0.087,0.088,0.638,0.27,0.137,0.726,0.795,0.189,0.088,0.087,0.662,0.286,0.134,0.792,0.877,0.201,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3790,0.087,0.087,0.097,0.086,0.086,0.091,0.087,0.087,0.087,0.703,0.312,0.182,0.82,0.921,0.214,0.088,0.087,0.639,0.29,0.106,0.734,0.807,0.197,0.088,0.088,0.638,0.271,0.14,0.725,0.796,0.19,0.088,0.087,0.663,0.288,0.137,0.792,0.878,0.202,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3800,0.087,0.087,0.097,0.086,0.086,0.091,0.088,0.087,0.087,0.704,0.314,0.183,0.819,0.921,0.214,0.088,0.087,0.64,0.29,0.107,0.734,0.807,0.198,0.088,0.088,0.638,0.271,0.141,0.725,0.795,0.19,0.087,0.087,0.664,0.289,0.139,0.792,0.88,0.202,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3810,0.087,0.087,0.097,0.086,0.087,0.091,0.088,0.087,0.087,0.705,0.314,0.183,0.82,0.921,0.215,0.088,0.087,0.641,0.291,0.108,0.734,0.806,0.199,0.088,0.088,0.639,0.272,0.143,0.724,0.795,0.191,0.088,0.087,0.666,0.29,0.143,0.793,0.877,0.202,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3820,0.087,0.087,0.097,0.086,0.086,0.091,0.087,0.087,0.087,0.706,0.316,0.184,0.82,0.921,0.214,0.088,0.087,0.641,0.291,0.109,0.733,0.806,0.2,0.088,0.088,0.64,0.272,0.145,0.724,0.794,0.192,0.088,0.087,0.666,0.291,0.147,0.792,0.877,0.203,0.089,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3830,0.087,0.088,0.097,0.086,0.087,0.091,0.088,0.087,0.087,0.706,0.317,0.185,0.82,0.921,0.215,0.088,0.087,0.643,0.292,0.11,0.733,0.805,0.201,0.088,0.088,0.641,0.274,0.147,0.725,0.794,0.193,0.088,0.088,0.668,0.292,0.151,0.793,0.877,0.203,0.089,0.087,0.09,0.087,,0.087,0.088,0.088,0.088,0.089
3840,0.087,0.087,0.098,0.086,0.086,0.091,0.088,0.087,0.087,0.708,0.318,0.185,0.82,0.92,0.214,0.088,0.087,0.643,0.292,0.111,0.733,0.805,0.201,0.088,0.088,0.642,0.273,0.148,0.724,0.793,0.193,0.088,0.087,0.667,0.293,0.153,0.792,0.876,0.203,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3850,0.087,0.087,0.098,0.086,0.086,0.091,0.088,0.087,0.087,0.708,0.319,0.192,0.82,0.921,0.214,0.088,0.087,0.643,0.293,0.112,0.733,0.805,0.202,0.087,0.088,0.642,0.274,0.149,0.723,0.794,0.194,0.088,0.087,0.669,0.294,0.156,0.792,0.876,0.203,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3860,0.087,0.087,0.098,0.086,0.086,0.091,0.088,0.087,0.087,0.709,0.32,0.194,0.819,0.92,0.214,0.088,0.087,0.644,0.294,0.113,0.732,0.805,0.202,0.088,0.088,0.643,0.274,0.151,0.723,0.793,0.194,0.088,0.087,0.67,0.295,0.159,0.792,0.877,0.209,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3870,0.087,0.088,0.098,0.086,0.086,0.091,0.088,0.087,0.087,0.71,0.321,0.186,0.82,0.921,0.215,0.088,0.087,0.645,0.294,0.114,0.732,0.805,0.203,0.088,0.088,0.644,0.275,0.151,0.722,0.793,0.195,0.088,0.087,0.671,0.296,0.16,0.792,0.877,0.206,0.088,0.087,0.09,0.087,,0.087,0.088,0.088,0.088,0.089
3880,0.087,0.087,0.097,0.086,0.086,0.091,0.088,0.087,0.087,0.712,0.322,0.187,0.82,0.921,0.215,0.088,0.087,0.646,0.294,0.115,0.73,0.804,0.202,0.087,0.088,0.644,0.275,0.151,0.722,0.792,0.195,0.088,0.087,0.672,0.297,0.162,0.792,0.894,0.206,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3890,0.087,0.088,0.098,0.086,0.087,0.091,0.088,0.087,0.087,0.713,0.323,0.192,0.82,0.921,0.215,0.088,0.087,0.646,0.294,0.119,0.731,0.803,0.202,0.088,0.088,0.646,0.276,0.151,0.721,0.792,0.195,0.088,0.087,0.673,0.298,0.164,0.792,0.878,0.207,0.088,0.087,0.09,0.087,,0.087,0.088,0.088,0.088,0.089
3900,0.087,0.087,0.098,0.086,0.086,0.091,0.088,0.087,0.087,0.714,0.324,0.189,0.819,0.921,0.216,0.088,0.087,0.647,0.295,0.12,0.731,0.803,0.202,0.088,0.088,0.645,0.276,0.151,0.722,0.791,0.195,0.088,0.087,0.674,0.299,0.164,0.792,0.877,0.207,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3910,0.087,0.087,0.098,0.086,0.087,0.091,0.088,0.087,0.087,0.715,0.325,0.189,0.819,0.92,0.217,0.088,0.087,0.648,0.296,0.12,0.731,0.803,0.203,0.088,0.088,0.646,0.277,0.151,0.722,0.791,0.195,0.088,0.087,0.675,0.3,0.164,0.8,0.895,0.207,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3920,0.087,0.087,0.098,0.086,0.086,0.091,0.087,0.087,0.087,0.716,0.325,0.189,0.82,0.921,0.217,0.088,0.087,0.648,0.296,0.121,0.73,0.802,0.203,0.087,0.088,0.647,0.277,0.152,0.72,0.791,0.196,0.088,0.087,0.676,0.301,0.165,0.791,0.877,0.208,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3930,0.087,0.087,0.098,0.086,0.086,0.091,0.088,0.087,0.086,0.717,0.326,0.19,0.82,0.921,0.218,0.088,0.087,0.648,0.296,0.123,0.729,0.803,0.204,0.088,0.088,0.647,0.277,0.151,0.72,0.791,0.196,0.088,0.087,0.677,0.302,0.164,0.791,0.881,0.209,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3940,0.087,0.087,0.098,0.086,0.087,0.091,0.088,0.087,0.087,0.718,0.327,0.191,0.819,0.92,0.219,0.088,0.087,0.65,0.297,0.125,0.729,0.801,0.203,0.087,0.088,0.649,0.278,0.152,0.72,0.791,0.196,0.088,0.087,0.677,0.303,0.164,0.791,0.877,0.209,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3950,0.087,0.087,0.098,0.087,0.087,0.091,0.087,0.087,0.087,0.718,0.328,0.191,0.819,0.92,0.22,0.088,0.087,0.651,0.297,0.127,0.729,0.802,0.204,0.088,0.088,0.649,0.278,0.152,0.72,0.789,0.196,0.088,0.087,0.678,0.304,0.165,0.797,0.892,0.209,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3960,0.087,0.087,0.098,0.086,0.087,0.091,0.087,0.087,0.086,0.72,0.329,0.191,0.82,0.92,0.221,0.088,0.087,0.651,0.298,0.127,0.728,0.801,0.204,0.088,0.088,0.65,0.279,0.152,0.719,0.79,0.197,0.088,0.087,0.68,0.305,0.165,0.79,0.878,0.21,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3970,0.087,0.087,0.098,0.086,0.087,0.091,0.087,0.087,0.087,0.721,0.33,0.193,0.819,0.92,0.222,0.088,0.087,0.652,0.298,0.127,0.728,0.801,0.204,0.087,0.088,0.651,0.279,0.152,0.719,0.789,0.197,0.088,0.087,0.681,0.306,0.165,0.791,0.877,0.211,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3980,0.087,0.087,0.097,0.087,0.086,0.091,0.087,0.087,0.087,0.722,0.331,0.193,0.819,0.92,0.223,0.088,0.087,0.652,0.298,0.128,0.728,0.801,0.205,0.088,0.088,0.651,0.28,0.152,0.719,0.788,0.198,0.088,0.087,0.682,0.306,0.165,0.791,0.893,0.212,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
3990,0.087,0.088,0.098,0.087,0.087,0.091,0.088,0.087,0.087,0.723,0.332,0.194,0.819,0.92,0.224,0.088,0.087,0.653,0.298,0.13,0.728,0.8,0.206,0.088,0.088,0.652,0.28,0.152,0.718,0.789,0.198,0.088,0.087,0.683,0.307,0.166,0.79,0.876,0.213,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
4000,0.087,0.087,0.098,0.086,0.086,0.091,0.088,0.087,0.087,0.724,0.333,0.194,0.82,0.921,0.225,0.088,0.087,0.653,0.299,0.131,0.727,0.799,0.207,0.088,0.088,0.653,0.28,0.152,0.718,0.788,0.199,0.088,0.087,0.684,0.308,0.166,0.791,0.877,0.213,0.089,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
4010,0.087,0.087,0.098,0.087,0.087,0.091,0.088,0.087,0.087,0.725,0.334,0.195,0.819,0.92,0.226,0.088,0.087,0.653,0.299,0.132,0.726,0.8,0.207,0.088,0.088,0.653,0.28,0.152,0.717,0.787,0.199,0.088,0.087,0.684,0.309,0.167,0.79,0.877,0.214,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
4020,0.087,0.087,0.098,0.087,0.087,0.091,0.088,0.087,0.087,0.726,0.334,0.196,0.82,0.92,0.226,0.088,0.087,0.655,0.299,0.133,0.726,0.799,0.208,0.088,0.088,0.654,0.281,0.153,0.717,0.788,0.2,0.088,0.087,0.685,0.31,0.168,0.79,0.879,0.215,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
4030,0.087,0.087,0.098,0.086,0.086,0.091,0.087,0.087,0.087,0.727,0.335,0.196,0.819,0.921,0.227,0.088,0.087,0.655,0.3,0.133,0.726,0.799,0.208,0.088,0.088,0.654,0.281,0.153,0.716,0.787,0.2,0.088,0.087,0.686,0.311,0.168,0.792,0.878,0.216,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
4040,0.087,0.087,0.098,0.086,0.086,0.091,0.087,0.087,0.087,0.727,0.336,0.197,0.819,0.921,0.228,0.088,0.087,0.656,0.3,0.134,0.725,0.799,0.209,0.088,0.088,0.655,0.282,0.153,0.716,0.788,0.201,0.088,0.087,0.686,0.311,0.168,0.791,0.877,0.217,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
4050,0.087,0.087,0.098,0.086,0.087,0.091,0.088,0.087,0.087,0.729,0.337,0.2,0.82,0.92,0.229,0.088,0.087,0.657,0.3,0.134,0.725,0.799,0.21,0.088,0.088,0.655,0.282,0.153,0.716,0.787,0.201,0.088,0.087,0.688,0.312,0.169,0.791,0.878,0.217,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
4060,0.087,0.087,0.098,0.086,0.086,0.091,0.087,0.087,0.087,0.73,0.338,0.198,0.819,0.921,0.229,0.088,0.087,0.657,0.3,0.134,0.724,0.798,0.211,0.088,0.088,0.656,0.282,0.153,0.715,0.786,0.202,0.088,0.087,0.689,0.313,0.169,0.79,0.876,0.218,0.088,0.087,0.09,0.087,,0.086,0.088,0.088,0.088,0.089
4070,0.087,0.088,0.097,0.087,0.087,0.091,0.087,0.087,0.087,0.73,0.339,0.199,0.819,0.92,0.23,0.088,0.087,0.657,0.301,0.134,0.724,0.798,0.211,0.088,0.088,0.657,0.283,0.153,0.715,0.786,0.203,0.088,0.087,0.69,0.313,0.17,0.79,0.878,0.219,0.088,0.087,0.09,0.087,,0.087,0.088,0.088,0.088,0.089
